,variables,D
2,same_zip_5.x,0.5
32,same_ssn_5.x,0.5
90,same_nameDOB_5.x,0.5
43,same_ssn_diff_phone_3.x,0.5
72,same_phone_diff_ssn_1.x,0.5
55,same_ssn_diff_zip_3.x,0.4756554307116105
37,same_ssn_diff_address_3.x,0.46619217081850534
49,same_ssn_diff_dob_3.x,0.4508670520231214
31,same_ssn_3.x,0.43050847457627117
50,same_ssn_diff_dob_5.x,0.4148148148148148
78,same_phone_diff_dob_3.x,0.3975903614457832
44,same_ssn_diff_phone_5.x,0.3901098901098901
51,same_ssn_diff_dob_7.x,0.3767705382436261
38,same_ssn_diff_address_5.x,0.3666666666666667
56,same_ssn_diff_zip_5.x,0.36658354114713215
45,same_ssn_diff_phone_7.x,0.34917355371900827
6,same_zip_diff_address_1.x,0.33333333333333337
0,same_zip_1.x,0.33333333333333337
12,same_zip_diff_ssn_1.x,0.3333333333333333
24,same_phone_diff_phone_1.x,0.3333333333333333
18,same_phone_diff_dob_1.x,0.3333333333333333
83,same_phone_diff_zip_3.x,0.3333333333333333
111,same_phone_diff_dob_1.x.x,0.3333333333333333
57,same_ssn_diff_zip_7.x,0.32575757575757575
73,same_phone_diff_ssn_3.x,0.32397408207343414
53,same_ssn_diff_dob_30.x,0.31262939958592134
52,same_ssn_diff_dob_14.x,0.31262939958592134
33,same_ssn_7.x,0.3122866894197952
39,same_ssn_diff_address_7.x,0.30931458699472764
30,same_ssn_1.x,0.30000000000000004
79,same_phone_diff_dob_7.x,0.29584120982986767
61,same_phone_3.x,0.29296066252587993
67,same_phone_diff_address_3.x,0.2852664576802508
47,same_ssn_diff_phone_30.x,0.28503937007874014
46,same_ssn_diff_phone_14.x,0.28503937007874014
85,same_phone_diff_zip_5.x,0.27635542168674704
59,same_ssn_diff_zip_30.x,0.27377521613832856
58,same_ssn_diff_zip_14.x,0.27377521613832856
74,same_phone_diff_ssn_5.x,0.27078891257995735
97,same_nameDOB_diff_address_7.x,0.26415094339622636
68,same_phone_diff_address_5.x,0.26268861454046644
62,same_phone_5.x,0.2591339648173207
81,same_phone_diff_dob_30.x,0.2561141304347826
80,same_phone_diff_dob_14.x,0.2561141304347826
40,same_ssn_diff_address_14.x,0.2549019607843137
41,same_ssn_diff_address_30.x,0.2549019607843137
100,same_nameDOB_diff_ssn_1.x,0.25
94,same_nameDOB_diff_address_1.x,0.25
106,same_nameDOB_diff_phone_1.x,0.25
88,same_nameDOB_1.x,0.25
34,same_ssn_14.x,0.23875000000000002
35,same_ssn_30.x,0.23875000000000002
84,same_phone_diff_zip_7.x,0.23348783314020854
75,same_phone_diff_ssn_7.x,0.23166843783209354
69,same_phone_diff_address_7.x,0.2158974358974359
63,same_phone_7.x,0.2129162462159435
110,same_nameDOB_diff_phone_30.x,0.21052631578947367
109,same_nameDOB_diff_phone_14.x,0.21052631578947367
89,same_nameDOB_3.x,0.21052631578947367
98,same_nameDOB_diff_address_14.x,0.20930232558139528
99,same_nameDOB_diff_address_30.x,0.20930232558139528
66,same_phone_diff_address_1.x,0.20833333333333337
87,same_phone_diff_zip_30.x,0.20044543429844097
86,same_phone_diff_zip_14.x,0.20044543429844097
42,same_ssn_diff_phone_1.x,0.20000000000000007
36,same_ssn_diff_address_1.x,0.20000000000000007
54,same_ssn_diff_zip_1.x,0.20000000000000007
95,same_nameDOB_diff_address_3.x,0.1964285714285714
101,same_nameDOB_diff_ssn_3.x,0.18181818181818177
70,same_phone_diff_address_14.x,0.1761559037065342
71,same_phone_diff_address_30.x,0.1761559037065342
96,same_nameDOB_diff_address_5.x,0.17500000000000004
82,same_phone_diff_zip_1.x,0.17391304347826086
65,same_phone_30.x,0.1736842105263158
64,same_phone_14.x,0.1736842105263158
77,same_phone_diff_ssn_30.x,0.17287866772402855
76,same_phone_diff_ssn_14.x,0.17287866772402855
91,same_nameDOB_7.x,0.16981132075471694
102,same_nameDOB_diff_ssn_5.x,0.1688311688311689
60,same_phone_1.x,0.16666666666666674
7,same_zip_diff_address_3.x,0.16666666666666663
93,same_nameDOB_30.x,0.1578947368421053
92,same_nameDOB_14.x,0.1578947368421053
108,same_nameDOB_diff_phone_7.x,0.1558441558441559
103,same_nameDOB_diff_ssn_7.x,0.1456310679611651
3,same_zip_7.x,0.1351351351351352
104,same_nameDOB_diff_ssn_14.x,0.12903225806451613
105,same_nameDOB_diff_ssn_30.x,0.12903225806451613
107,same_nameDOB_diff_phone_3.x,0.1282051282051282
48,same_ssn_diff_dob_1.x,0.125
20,same_zip_diff_dob_7.x,0.125
4,same_zip_14.x,0.12
5,same_zip_30.x,0.12
25,same_zip_diff_phone_3.x,0.11764705882352944
13,same_zip_diff_ssn_3.x,0.11111111111111116
112,same_phone_diff_dob_5.x.x,0.11111111111111116
21,same_phone_diff_dob_5.x,0.11111111111111116
1,same_zip_3.x,0.10526315789473684
23,same_zip_diff_dob_30.x,0.07499999999999996
22,same_zip_diff_dob_14.x,0.07499999999999996
14,same_zip_diff_ssn_5.x,0.07407407407407407
8,same_zip_diff_address_5.x,0.07407407407407407
113,same_phone_diff_phone_5.x.x,0.07407407407407407
27,same_phone_diff_phone_5.x,0.07407407407407407
10,same_zip_diff_address_14.x,0.07317073170731714
11,same_zip_diff_address_30.x,0.07317073170731714
15,same_zip_diff_ssn_7.x,0.06451612903225812
9,same_zip_diff_address_7.x,0.0625
26,same_zip_diff_phone_7.x,0.0625
19,same_zip_diff_dob_3.x,0.05882352941176472
16,same_zip_diff_ssn_14.x,0.050000000000000044
17,same_zip_diff_ssn_30.x,0.050000000000000044
29,same_zip_diff_phone_30.x,0.050000000000000044
28,same_zip_diff_phone_14.x,0.050000000000000044
